TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY,EXTRA
administrador,id,bigint,NO,PRI,
administrador,activo,bit,NO,,
administrador,fechaAlta,datetime,NO,,
administrador,login,varchar,NO,,
administrador,password,varchar,NO,,
administrador,TIPO_USUARIO,enum,YES,,
administrador,ultimoAcceso,datetime,NO,,
administrador,email,varchar,YES,,
administrador,nombre,varchar,YES,,
centrosalud,id,bigint,NO,PRI,
centrosalud,activo,bit,NO,,
centrosalud,direccion,varchar,YES,,
centrosalud,email,varchar,YES,,
centrosalud,nombre,varchar,YES,,
centrosalud,telefono,varchar,YES,,
cita,id,bigint,NO,PRI,
cita,duracion,int,NO,,
cita,estadoCita,enum,YES,,
cita,fechaHora,datetime,YES,,
cita,medicoAtiende_id,bigint,YES,MUL,
cita,pacienteCitado_id,bigint,YES,MUL,
cita_gen,GEN_NAME,varchar,NO,PRI,
cita_gen,GEN_VAL,bigint,YES,,
farmacia,id,bigint,NO,PRI,
farmacia,activo,bit,NO,,
farmacia,fechaAlta,datetime,NO,,
farmacia,login,varchar,NO,,
farmacia,password,varchar,NO,,
farmacia,TIPO_USUARIO,enum,YES,,
farmacia,ultimoAcceso,datetime,NO,,
farmacia,DNI,varchar,YES,,
farmacia,apellidosFarmaceutico,varchar,YES,,
farmacia,direccion,varchar,YES,,
farmacia,email,varchar,YES,,
farmacia,nombre,varchar,YES,,
farmacia,nombreFarmaceutico,varchar,YES,,
farmacia,numeroColegiado,varchar,YES,,
farmacia,telefono,varchar,YES,,
generator_table,GEN_KEY,varchar,NO,PRI,
generator_table,GEN_VALUE,bigint,YES,,
medicamento,id,bigint,NO,PRI,
medicamento,activo,bit,NO,,
medicamento,dosis,int,NO,,
medicamento,existencias,int,NO,,
medicamento,fabricante,varchar,YES,,
medicamento,familia,varchar,YES,,
medicamento,nombreComercial,varchar,YES,,
medicamento,principioActivo,varchar,YES,,
medico,id,bigint,NO,PRI,
medico,activo,bit,NO,,
medico,fechaAlta,datetime,NO,,
medico,login,varchar,NO,,
medico,password,varchar,NO,,
medico,TIPO_USUARIO,enum,YES,,
medico,ultimoAcceso,datetime,NO,,
medico,DNI,varchar,YES,,
medico,apellidos,varchar,YES,,
medico,email,varchar,YES,,
medico,nombre,varchar,YES,,
medico,numeroColegiado,varchar,YES,,
medico,telefono,varchar,YES,,
medico,centroSalud_id,bigint,YES,MUL,
paciente,id,bigint,NO,PRI,
paciente,activo,bit,NO,,
paciente,fechaAlta,datetime,NO,,
paciente,login,varchar,NO,,
paciente,password,varchar,NO,,
paciente,TIPO_USUARIO,enum,YES,,
paciente,ultimoAcceso,datetime,NO,,
paciente,DNI,varchar,YES,,
paciente,NSS,varchar,YES,,
paciente,direccion,varchar,YES,,
paciente,email,varchar,YES,,
paciente,nombre,varchar,YES,,
paciente,telefono,varchar,YES,,
paciente,centroSalud_id,bigint,YES,MUL,
prescripcion,id,bigint,NO,PRI,
prescripcion,activa,bit,NO,,
prescripcion,dosis,int,NO,,
prescripcion,fechaFin,datetime,YES,,
prescripcion,fechaInicio,datetime,YES,,
prescripcion,indicaciones,varchar,YES,,
prescripcion,medicamento_id,bigint,YES,MUL,
prescripcion,medico_id,bigint,YES,MUL,
prescripcion,paciente_id,bigint,YES,MUL,
receta,id,bigint,NO,PRI,
receta,cantidad,int,NO,,
receta,estado,enum,YES,,
receta,farmaciaServidora,varbinary,YES,,
receta,fechaFin,datetime,YES,,
receta,fechaInicio,datetime,YES,,
receta,prescripcion_id,bigint,YES,MUL,
usuario_gen,GEN_NAME,varchar,NO,PRI,
usuario_gen,GEN_VAL,bigint,YES,,
